[20:03:18] [INFO] 🚀 跳跃执行: skip → current_task | stall @ self_repair
[20:38:53] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:39:24] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:39:24] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:39:55] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:39:55] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:40:27] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:40:27] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:40:58] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:40:58] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:41:29] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:41:29] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:41:59] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:41:59] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:42:30] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:42:30] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:43:01] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:43:01] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:43:32] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:43:32] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:44:03] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:44:03] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:44:34] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:44:34] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:45:05] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:45:05] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:45:37] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:45:37] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:46:08] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:46:08] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:46:39] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:46:39] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:47:10] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:47:10] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:47:42] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:47:42] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:48:13] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:48:13] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:48:44] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:48:44] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:49:15] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:49:15] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:49:46] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:49:46] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:50:17] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:50:17] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:50:48] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:50:48] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:51:19] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:51:19] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:51:51] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:51:51] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:52:22] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:52:22] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:52:53] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:52:53] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:53:24] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:53:24] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:53:56] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:53:56] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:54:27] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:54:27] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:54:58] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:54:58] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:55:29] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:55:29] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:56:00] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:56:00] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:56:32] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:56:32] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:57:03] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:57:03] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:57:34] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:57:34] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:58:04] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:58:04] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:58:35] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:58:35] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:59:07] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:59:07] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:59:38] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[20:59:38] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:00:09] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:00:09] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:00:40] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:00:40] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:01:12] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:01:12] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:01:43] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:01:43] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:02:14] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:02:14] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:02:45] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:02:45] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:03:16] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:03:16] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:03:47] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:03:47] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:04:19] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:04:19] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:04:50] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:04:50] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:05:21] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:05:21] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:05:52] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:05:52] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:06:22] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:06:22] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:06:53] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:06:53] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:07:25] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:07:25] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:07:56] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:07:56] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:08:27] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:08:27] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:08:58] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:08:58] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:09:30] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:09:30] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:10:01] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:10:01] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:10:32] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:10:32] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:11:03] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:11:03] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:11:34] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:11:34] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:12:05] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:12:05] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:12:37] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:12:37] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:13:08] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:13:08] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:13:39] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:13:39] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:14:10] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:14:10] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:14:40] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:14:40] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:15:11] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:15:11] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:15:43] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:15:43] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:16:14] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:16:14] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:16:45] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:16:45] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:17:16] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:17:16] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:17:47] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:17:47] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:18:18] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:18:18] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
[21:18:49] [INFO] 🚀 跳跃执行: wait_recovery → expert_watchdog | stall @ watchdog
